,AKBNK,ALBRK,DENIZ,FINBN,GARAN,ICBCT,ISATR,ISBTR,ISCTR,SKBNK,HALKB,KLNMA,TSKB,VAKBN,YKBNK
13/09/2001,"2,200.00",0.00,0.00,194.20,"1,481.25",27.00,22.90,19.43,"4,782.20",74.00,0.00,326.25,22.33,0.00,"1,993.71"
14/09/2001,"2,080.00",0.00,0.00,250.25,"1,406.25",23.40,22.90,17.98,"4,539.04",73.00,0.00,288.75,19.64,0.00,"1,880.86"
17/09/2001,"2,080.00",0.00,0.00,233.75,"1,312.50",22.80,22.90,17.40,"4,539.04",75.00,0.00,285.00,19.25,0.00,"1,862.05"
18/09/2001,"2,040.00",0.00,0.00,225.50,"1,181.25",22.20,22.90,17.69,"4,539.04",71.00,0.00,273.75,20.02,0.00,"1,824.44"
19/09/2001,"2,120.00",0.00,0.00,231.00,"1,162.50",22.80,22.90,17.69,"4,620.09",80.00,0.00,281.25,20.79,0.00,"1,824.44"
20/09/2001,"2,040.00",0.00,0.00,220.00,"1,068.75",22.20,22.90,17.11,"4,539.04",77.00,0.00,288.75,19.64,0.00,"1,749.20"
21/09/2001,"1,980.00",0.00,0.00,211.75,975.00,19.80,22.90,16.82,"4,052.71",77.00,0.00,315.00,19.25,0.00,"1,673.97"
24/09/2001,"2,080.00",0.00,0.00,214.50,993.75,21.60,22.90,16.53,"4,214.82",84.00,0.00,292.50,20.02,0.00,"1,711.58"
25/09/2001,"2,160.00",0.00,0.00,217.25,993.75,22.20,22.90,15.95,"4,214.82",78.00,0.00,288.75,19.64,0.00,"1,749.20"
26/09/2001,"2,160.00",0.00,0.00,209.00,918.75,22.20,22.90,15.08,"4,214.82",77.00,0.00,281.25,20.41,0.00,"1,692.78"
27/09/2001,"2,160.00",0.00,0.00,203.50,900.00,22.80,22.90,15.66,"4,133.77",75.00,0.00,277.50,19.25,0.00,"1,655.16"
28/09/2001,"2,160.00",0.00,0.00,206.25,937.50,23.40,22.90,16.24,"4,214.82",75.00,0.00,281.25,20.41,0.00,"1,692.78"
01/10/2001,"2,200.00",0.00,0.00,209.00,993.75,22.80,22.90,15.66,"4,133.77",78.00,0.00,281.25,20.41,0.00,"1,692.78"
02/10/2001,"2,200.00",0.00,0.00,206.25,993.75,21.60,22.90,15.66,"4,295.88",77.00,0.00,285.00,20.41,0.00,"1,730.39"
03/10/2001,"2,160.00",0.00,0.00,198.00,975.00,26.40,20.66,15.66,"4,133.77",73.00,0.00,285.00,19.64,0.00,"1,673.97"
04/10/2001,"2,160.00",0.00,0.00,200.75,993.75,26.40,20.66,15.66,"4,214.82",74.00,0.00,288.75,20.02,0.00,"1,673.97"
05/10/2001,"2,080.00",0.00,0.00,192.50,975.00,24.80,20.66,15.66,"4,012.19",73.00,0.00,281.25,19.25,0.00,"1,598.73"
08/10/2001,"2,080.00",0.00,0.00,176.00,975.00,25.60,20.00,15.66,"3,971.66",70.00,0.00,273.75,18.48,0.00,"1,561.12"
09/10/2001,"2,080.00",0.00,0.00,189.75,975.00,26.40,20.00,15.66,"4,012.19",72.00,0.00,285.00,19.25,0.00,"1,561.12"
10/10/2001,"2,200.00",0.00,0.00,206.25,993.75,28.00,20.00,16.24,"4,174.29",73.00,0.00,330.00,20.79,0.00,"1,673.97"
11/10/2001,"2,360.00",0.00,0.00,214.50,"1,068.75",27.20,20.00,18.27,"4,539.04",74.00,0.00,333.75,21.56,0.00,"1,805.63"
12/10/2001,"2,320.00",0.00,0.00,200.75,993.75,26.40,20.00,16.82,"4,376.93",71.00,0.00,326.25,21.56,0.00,"1,730.39"
15/10/2001,"2,400.00",0.00,0.00,203.50,993.75,27.20,20.00,17.40,"4,457.98",78.00,0.00,333.75,21.56,0.00,"1,711.58"
16/10/2001,"2,360.00",0.00,0.00,203.50,"1,068.75",28.00,20.00,17.11,"4,457.98",66.00,0.00,348.75,21.95,0.00,"1,749.20"
17/10/2001,"2,400.00",0.00,0.00,211.75,"1,068.75",31.20,20.00,18.56,"4,620.09",71.00,0.00,400.00,23.49,0.00,"1,824.44"
18/10/2001,"2,320.00",0.00,0.00,209.00,"1,068.75",32.00,20.00,18.85,"4,539.04",70.00,0.00,385.00,22.72,0.00,"1,786.82"
19/10/2001,"2,320.00",0.00,0.00,203.50,"1,050.00",32.80,20.00,18.27,"4,457.98",70.00,0.00,390.00,22.72,0.00,"1,805.63"
22/10/2001,"2,440.00",0.00,0.00,236.50,"1,143.75",36.00,20.00,19.14,"4,620.09",70.00,0.00,415.00,23.87,0.00,"1,937.29"
23/10/2001,"2,560.00",0.00,0.00,250.25,"1,181.25",36.00,22.00,19.43,"4,944.31",71.00,0.00,405.00,25.03,0.00,"1,993.71"
24/10/2001,"2,520.00",0.00,0.00,253.00,"1,181.25",36.80,22.00,18.56,"4,782.20",73.00,0.00,445.00,24.26,0.00,"1,956.10"
25/10/2001,"2,480.00",0.00,0.00,244.75,"1,125.00",36.80,22.00,17.98,"4,620.09",72.00,0.00,435.00,24.26,0.00,"1,956.10"
26/10/2001,"2,600.00",0.00,0.00,253.00,"1,218.75",36.80,20.50,19.43,"4,863.26",73.00,0.00,430.00,24.64,0.00,"2,068.95"
30/10/2001,"2,520.00",0.00,0.00,247.50,"1,200.00",36.80,22.55,19.14,"4,944.31",69.00,0.00,410.00,25.03,0.00,"2,106.57"
31/10/2001,"2,520.00",0.00,0.00,244.75,"1,200.00",35.20,23.96,18.56,"4,620.09",69.00,0.00,405.00,24.64,0.00,"2,181.80"
01/11/2001,"2,440.00",0.00,0.00,236.50,"1,162.50",34.40,23.96,18.27,"4,539.04",67.00,0.00,400.00,24.64,0.00,"2,068.95"
02/11/2001,"2,560.00",0.00,0.00,242.00,"1,200.00",35.20,23.96,18.85,"4,620.09",70.00,0.00,410.00,24.64,0.00,"2,219.42"
05/11/2001,"2,600.00",0.00,0.00,244.75,"1,237.50",34.40,23.96,18.56,"4,620.09",70.00,0.00,415.00,26.57,0.00,"2,332.27"
06/11/2001,"2,640.00",0.00,0.00,250.25,"1,275.00",35.20,23.96,19.72,"4,782.20",70.00,0.00,415.00,26.18,0.00,"2,369.89"
07/11/2001,"2,600.00",0.00,0.00,242.00,"1,237.50",36.00,22.25,20.59,"4,782.20",69.00,0.00,405.00,25.80,0.00,"2,294.65"
08/11/2001,"2,600.00",0.00,0.00,244.75,"1,237.50",36.80,24.90,22.33,"4,782.20",74.00,0.00,435.00,28.11,0.00,"2,294.65"
09/11/2001,"2,520.00",0.00,0.00,231.00,"1,200.00",37.60,22.25,22.04,"4,701.15",73.00,0.00,415.00,26.95,0.00,"2,181.80"
12/11/2001,"2,600.00",0.00,0.00,233.75,"1,200.00",36.00,22.25,21.17,"4,701.15",74.00,0.00,425.00,26.95,0.00,"2,257.03"
13/11/2001,"2,560.00",0.00,0.00,233.75,"1,200.00",36.00,22.25,20.88,"4,620.09",72.00,0.00,415.00,27.72,0.00,"2,294.65"
14/11/2001,"2,680.00",0.00,0.00,261.25,"1,275.00",37.60,22.25,21.17,"4,701.15",73.00,0.00,430.00,28.11,0.00,"2,445.12"
15/11/2001,"2,800.00",0.00,0.00,269.50,"1,462.50",40.80,21.00,22.91,"5,268.53",76.00,0.00,435.00,29.26,0.00,"2,520.35"
16/11/2001,"2,880.00",0.00,0.00,269.50,"1,462.50",39.20,21.00,22.33,"5,430.63",77.00,0.00,435.00,29.65,0.00,"2,708.44"
19/11/2001,"3,120.00",0.00,0.00,302.50,"1,650.00",40.80,21.00,24.07,"5,835.91",85.00,0.00,465.00,32.34,0.00,"3,009.38"
20/11/2001,"2,960.00",0.00,0.00,288.75,"1,668.75",44.00,21.00,22.91,"5,592.74",86.00,0.00,445.00,33.50,0.00,"2,821.29"
21/11/2001,"2,880.00",0.00,0.00,295.63,"1,687.50",44.00,21.00,22.04,"5,430.63",88.00,0.00,445.00,32.73,0.00,"2,783.68"
22/11/2001,"2,960.00",0.00,0.00,302.50,"1,725.00",45.60,21.00,22.33,"5,511.69",87.00,0.00,445.00,33.50,0.00,"2,858.91"
23/11/2001,"2,920.00",0.00,0.00,295.63,"1,668.75",44.00,21.00,22.33,"5,430.63",86.00,0.00,435.00,33.11,0.00,"2,858.91"
26/11/2001,"3,040.00",0.00,0.00,309.38,"1,725.00",47.20,20.90,22.62,"5,430.63",87.00,0.00,460.00,33.11,0.00,"2,971.76"
27/11/2001,"2,960.00",0.00,0.00,302.50,"1,668.75",48.80,20.90,22.33,"5,349.58",86.00,0.00,440.00,33.11,0.00,"2,858.91"
28/11/2001,"2,840.00",0.00,0.00,281.88,"1,556.25",45.60,21.45,21.75,"5,025.36",78.00,0.00,420.00,30.80,0.00,"2,633.21"
29/11/2001,"2,800.00",0.00,0.00,302.50,"1,425.00",43.20,21.45,20.88,"4,944.31",79.00,0.00,410.00,30.80,0.00,"2,595.59"
30/11/2001,"2,920.00",0.00,0.00,316.25,"1,575.00",45.60,21.45,21.75,"5,349.58",78.00,0.00,430.00,31.57,0.00,"2,783.68"
03/12/2001,"2,880.00",0.00,0.00,309.38,"1,575.00",43.20,21.45,21.46,"5,187.47",83.00,0.00,415.00,31.19,0.00,"2,746.06"
04/12/2001,"2,880.00",0.00,0.00,295.63,"1,518.75",42.40,21.45,20.88,"5,106.42",79.00,0.00,415.00,30.42,0.00,"2,708.44"
05/12/2001,"3,080.00",0.00,0.00,309.38,"1,631.25",42.40,21.45,22.62,"5,349.58",81.00,0.00,430.00,31.96,0.00,"2,858.91"
06/12/2001,"3,160.00",0.00,0.00,316.25,"1,706.25",44.00,22.57,23.20,"5,754.85",81.00,0.00,445.00,32.73,0.00,"3,084.61"
07/12/2001,"3,240.00",0.00,0.00,330.00,"1,687.50",46.40,22.01,22.91,"5,998.01",83.00,0.00,430.00,31.96,0.00,"3,009.38"
10/12/2001,"3,200.00",0.00,0.00,330.00,"1,687.50",44.80,22.01,23.78,"6,241.18",81.00,0.00,450.00,34.65,0.00,"2,971.76"
11/12/2001,"3,200.00",0.00,0.00,323.13,"1,650.00",44.00,22.01,23.20,"6,160.12",82.00,0.00,435.00,36.19,0.00,"2,934.14"
12/12/2001,"3,200.00",0.00,0.00,323.13,"1,650.00",44.00,24.00,23.20,"6,241.18",81.00,0.00,440.00,36.19,0.00,"2,934.14"
13/12/2001,"3,120.00",0.00,0.00,323.13,"1,650.00",43.20,23.00,23.49,"6,160.12",81.00,0.00,430.00,35.42,0.00,"2,896.53"
14/12/2001,"3,200.00",0.00,0.00,336.88,"1,650.00",44.00,23.00,23.49,"6,241.18",83.00,0.00,440.00,35.42,0.00,"2,934.14"
19/12/2001,"3,240.00",0.00,0.00,330.00,"1,725.00",43.20,22.40,23.20,"6,241.18",81.00,0.00,430.00,35.04,0.00,"3,009.38"
20/12/2001,"3,280.00",0.00,0.00,330.00,"1,743.75",42.40,22.40,22.91,"5,998.01",81.00,0.00,430.00,34.27,0.00,"2,971.76"
21/12/2001,"3,320.00",0.00,0.00,323.13,"1,725.00",42.40,22.40,22.91,"6,160.12",81.00,0.00,430.00,34.27,0.00,"2,896.53"
24/12/2001,"3,320.00",0.00,0.00,323.13,"1,687.50",42.40,24.97,22.62,"6,079.07",81.00,0.00,420.00,35.04,0.00,"2,971.76"
25/12/2001,"3,400.00",0.00,0.00,316.25,"1,706.25",44.80,24.97,23.20,"5,998.01",80.00,0.00,435.00,35.04,0.00,"3,009.38"
26/12/2001,"3,400.00",0.00,0.00,330.00,"1,725.00",46.40,24.97,23.20,"6,160.12",81.00,0.00,430.00,35.04,0.00,"3,084.61"
27/12/2001,"3,600.00",0.00,0.00,343.75,"1,875.00",48.00,24.97,24.07,"6,484.34",84.00,0.00,445.00,36.58,0.00,"3,197.46"
28/12/2001,"3,680.00",0.00,0.00,350.63,"1,987.50",52.80,24.97,24.36,"6,565.39",88.00,0.00,450.00,36.19,0.00,"3,347.93"
02/01/2002,"3,720.00",0.00,0.00,364.38,"2,137.50",64.00,24.97,24.94,"6,970.67",96.00,0.00,450.00,38.12,0.00,"3,385.55"
03/01/2002,"3,760.00",0.00,0.00,378.13,"2,137.50",73.60,24.97,24.94,"6,970.67",110.00,0.00,455.00,38.50,0.00,"3,385.55"
07/01/2002,"3,920.00",0.00,0.00,412.50,"2,250.00",79.20,24.97,26.10,"7,456.99",132.50,0.00,485.00,40.43,0.00,"3,611.25"
08/01/2002,"3,880.00",0.00,0.00,405.63,"2,250.00",75.20,24.97,26.10,"7,700.15",147.50,0.00,480.00,40.43,0.00,"3,611.25"
09/01/2002,"3,640.00",0.00,0.00,378.13,"2,100.00",68.00,24.97,24.94,"7,213.83",142.50,0.00,460.00,36.58,0.00,"3,423.17"
10/01/2002,"3,600.00",0.00,0.00,385.00,"2,025.00",72.00,24.97,24.36,"7,132.77",170.00,0.00,460.00,37.35,0.00,"3,423.17"
11/01/2002,"3,560.00",0.00,0.00,378.13,"1,987.50",68.80,27.47,24.07,"7,051.72",177.50,0.00,450.00,38.89,0.00,"3,347.93"
14/01/2002,"3,560.00",0.00,0.00,371.25,"1,987.50",70.40,27.47,23.78,"6,889.61",157.50,0.00,445.00,38.50,0.00,"3,347.93"
15/01/2002,"3,440.00",0.00,0.00,357.50,"1,987.50",68.00,27.47,23.78,"6,889.61",147.50,0.00,445.00,38.12,0.00,"3,235.08"
16/01/2002,"3,200.00",0.00,0.00,295.63,"1,875.00",64.00,27.47,22.62,"6,241.18",127.50,0.00,430.00,36.96,0.00,"3,009.38"
17/01/2002,"3,240.00",0.00,0.00,288.75,"1,875.00",64.80,27.47,23.49,"6,079.07",135.00,0.00,425.00,36.58,0.00,"3,009.38"
18/01/2002,"3,280.00",0.00,0.00,295.63,"1,950.00",62.40,27.47,22.91,"6,160.12",140.00,0.00,425.00,36.58,0.00,"3,009.38"
21/01/2002,"3,120.00",0.00,0.00,281.88,"1,875.00",59.20,27.47,22.04,"6,241.18",132.50,0.00,420.00,36.19,0.00,"2,896.53"
22/01/2002,"3,080.00",0.00,0.00,281.88,"1,912.50",60.00,27.47,22.33,"6,241.18",135.00,0.00,415.00,35.04,0.00,"2,896.53"
23/01/2002,"3,280.00",0.00,0.00,288.75,"2,025.00",61.60,27.47,22.62,"6,403.29",137.50,0.00,450.00,35.81,0.00,"2,971.76"
24/01/2002,"3,240.00",0.00,0.00,309.38,"2,062.50",65.60,24.72,22.91,"6,565.39",145.00,0.00,435.00,37.73,0.00,"3,084.61"
25/01/2002,"3,280.00",0.00,0.00,309.38,"2,062.50",66.40,22.75,23.20,"6,484.34",145.00,0.00,435.00,38.50,0.00,"3,047.00"
28/01/2002,"3,280.00",0.00,0.00,302.50,"2,100.00",65.60,22.75,22.62,"6,322.23",135.00,0.00,425.00,40.81,0.00,"3,009.38"
29/01/2002,"3,160.00",0.00,0.00,295.63,"2,025.00",64.00,22.50,22.33,"6,241.18",130.00,0.00,430.00,45.24,0.00,"2,896.53"
30/01/2002,"3,200.00",0.00,0.00,295.63,"2,062.50",64.80,22.50,22.04,"6,241.18",130.00,0.00,445.00,45.24,0.00,"2,896.53"
31/01/2002,"3,480.00",0.00,0.00,309.38,"2,212.50",68.00,22.50,23.20,"6,484.34",127.50,0.00,455.00,47.16,0.00,"3,122.23"
01/02/2002,"3,520.00",0.00,0.00,309.38,"2,212.50",67.20,22.50,23.78,"6,727.50",127.50,0.00,455.00,47.16,0.00,"3,197.46"
04/02/2002,"3,400.00",0.00,0.00,295.63,"2,175.00",67.20,22.00,23.49,"6,565.39",125.00,0.00,440.00,44.28,0.00,"3,084.61"
05/02/2002,"3,160.00",0.00,0.00,275.00,"2,062.50",64.80,22.00,22.91,"6,322.23",115.00,0.00,420.00,40.43,0.00,"2,934.14"
06/02/2002,"3,120.00",0.00,0.00,275.00,"2,062.50",63.20,22.00,22.04,"6,160.12",107.50,0.00,420.00,39.46,0.00,"2,858.91"
07/02/2002,"2,960.00",0.00,0.00,255.75,"1,912.50",56.80,22.00,20.88,"5,916.96",95.00,0.00,390.00,44.28,0.00,"2,633.21"
08/02/2002,"3,000.00",0.00,0.00,242.00,"1,818.75",52.00,22.00,20.30,"5,673.80",86.00,0.00,370.00,41.39,0.00,"2,482.74"
11/02/2002,"3,120.00",0.00,0.00,247.50,"1,968.75",57.60,22.10,20.59,"5,835.91",101.00,0.00,385.00,42.35,0.00,"2,670.82"
12/02/2002,"3,080.00",0.00,0.00,244.75,"2,025.00",56.00,19.89,20.88,"5,835.91",115.00,0.00,375.00,44.28,0.00,"2,595.59"
13/02/2002,"3,120.00",0.00,0.00,244.75,"2,062.50",55.20,19.89,20.59,"5,916.96",107.50,0.00,380.00,43.31,0.00,"2,670.82"
14/02/2002,"3,120.00",0.00,0.00,244.75,"2,062.50",56.00,19.89,20.59,"5,998.01",107.50,0.00,385.00,42.35,0.00,"2,670.82"
15/02/2002,"2,960.00",0.00,0.00,242.00,"1,987.50",55.20,19.89,20.30,"5,916.96",102.50,0.00,375.00,40.43,0.00,"2,520.35"
18/02/2002,"2,920.00",0.00,0.00,233.75,"1,950.00",52.80,19.89,19.72,"5,835.91",99.00,0.00,370.00,38.50,0.00,"2,520.35"
19/02/2002,"3,000.00",0.00,0.00,236.50,"1,950.00",54.40,20.00,20.01,"5,916.96",102.50,0.00,375.00,40.43,0.00,"2,633.21"
20/02/2002,"2,840.00",0.00,0.00,228.25,"1,912.50",52.80,20.00,19.14,"5,673.80",101.00,0.00,360.00,39.46,0.00,"2,520.35"
21/02/2002,"2,800.00",0.00,0.00,231.00,"1,912.50",52.80,20.00,19.72,"5,673.80",100.00,0.00,355.00,39.46,0.00,"2,520.35"
26/02/2002,"2,760.00",0.00,0.00,220.00,"1,875.00",51.20,19.50,19.14,"5,592.74",96.00,0.00,335.00,37.54,0.00,"2,445.12"
27/02/2002,"2,920.00",0.00,0.00,222.75,"1,931.25",50.40,20.00,19.43,"5,754.85",97.00,0.00,350.00,36.19,0.00,"2,482.74"
28/02/2002,"2,880.00",0.00,0.00,217.25,"1,912.50",49.60,20.00,19.43,"5,673.80",96.00,0.00,345.00,36.96,0.00,"2,520.35"
01/03/2002,"2,960.00",0.00,0.00,225.50,"1,987.50",52.00,20.00,19.72,"5,835.91",98.00,0.00,365.00,37.35,0.00,"2,670.82"
04/03/2002,"3,040.00",0.00,0.00,228.25,"2,062.50",55.20,20.00,20.59,"5,916.96",100.00,0.00,365.00,38.12,0.00,"2,783.68"
05/03/2002,"3,000.00",0.00,0.00,220.00,"1,987.50",53.60,20.00,20.01,"5,754.85",97.00,0.00,370.00,38.50,0.00,"2,746.06"
06/03/2002,"3,000.00",0.00,0.00,217.25,"1,950.00",52.80,19.00,20.01,"5,673.80",96.00,0.00,360.00,37.54,0.00,"2,708.44"
07/03/2002,"3,080.00",0.00,0.00,222.75,"1,987.50",55.20,20.00,20.30,"5,916.96",97.00,0.00,365.00,38.50,0.00,"2,746.06"
08/03/2002,"3,120.00",0.00,0.00,220.00,"2,025.00",55.20,20.00,20.30,"5,916.96",96.00,0.00,370.00,45.05,0.00,"2,783.68"
11/03/2002,"3,000.00",0.00,0.00,211.75,"1,950.00",52.80,20.00,19.43,"5,754.85",92.00,0.00,370.00,43.89,0.00,"2,708.44"
12/03/2002,"2,960.00",0.00,0.00,203.50,"1,856.25",51.20,20.00,19.14,"5,592.74",87.00,0.00,355.00,41.58,0.00,"2,520.35"
13/03/2002,"2,920.00",0.00,0.00,195.25,"1,818.75",49.60,22.00,18.85,"5,511.69",84.00,0.00,345.00,39.85,0.00,"2,520.35"
14/03/2002,"2,960.00",0.00,0.00,195.25,"1,875.00",50.40,22.00,18.85,"5,268.53",85.00,0.00,335.00,39.85,0.00,"2,520.35"
15/03/2002,"3,040.00",0.00,0.00,198.00,"1,818.75",51.20,22.00,18.85,"5,430.63",88.00,0.00,330.00,41.00,0.00,"2,557.97"
18/03/2002,"3,000.00",0.00,0.00,192.50,"1,800.00",49.60,22.00,18.85,"5,349.58",89.00,0.00,325.00,41.58,0.00,"2,520.35"
19/03/2002,"3,040.00",0.00,0.00,192.50,"1,800.00",49.60,22.00,19.14,"5,430.63",87.00,0.00,335.00,41.00,0.00,"2,557.97"
20/03/2002,"3,040.00",0.00,0.00,195.25,"1,818.75",49.60,20.00,19.14,"5,673.80",87.00,0.00,335.00,42.16,0.00,"2,595.59"
21/03/2002,"3,360.00",0.00,0.00,209.00,"1,968.75",52.00,20.00,20.59,"5,998.01",90.00,0.00,345.00,42.74,0.00,"2,746.06"
22/03/2002,"3,520.00",0.00,0.00,214.50,"2,025.00",53.60,20.00,20.59,"6,160.12",91.00,0.00,340.00,43.89,0.00,"3,009.38"
25/03/2002,"3,480.00",0.00,0.00,222.75,"2,100.00",53.60,20.00,20.59,"6,241.18",92.00,0.00,350.00,44.47,0.00,"3,009.38"
26/03/2002,"3,360.00",0.00,0.00,214.50,"1,987.50",52.00,20.00,20.30,"5,998.01",90.00,0.00,335.00,43.31,0.00,"2,858.91"
27/03/2002,"3,520.00",0.00,0.00,222.75,"2,025.00",52.80,20.00,20.30,"5,998.01",91.00,0.00,340.00,43.31,0.00,"2,971.76"
28/03/2002,"3,440.00",0.00,0.00,222.75,"2,062.50",65.24,20.00,20.01,"5,998.01",90.00,0.00,335.00,43.89,0.00,"2,971.76"
29/03/2002,"3,400.00",0.00,0.00,217.25,"2,025.00",64.44,20.00,20.01,"5,998.01",88.00,0.00,330.00,42.74,0.00,"3,009.38"
01/04/2002,"3,440.00",0.00,0.00,217.25,"2,025.00",64.44,20.00,20.01,"5,916.96",90.00,0.00,330.00,42.16,0.00,"2,971.76"
02/04/2002,"3,560.00",0.00,0.00,220.00,"2,025.00",65.24,20.00,20.01,"6,079.07",89.00,0.00,335.00,42.16,0.00,"3,084.61"
03/04/2002,"3,440.00",0.00,0.00,211.75,"1,912.50",62.84,20.00,20.01,"5,754.85",87.00,0.00,335.00,39.85,0.00,"2,934.14"
04/04/2002,"3,560.00",0.00,0.00,220.00,"2,062.50",63.64,20.00,20.30,"5,998.01",89.00,0.00,345.00,41.00,0.00,"3,084.61"
05/04/2002,"3,560.00",0.00,0.00,233.75,"2,062.50",70.84,20.00,20.30,"6,160.12",92.00,0.00,345.00,42.16,0.00,"3,122.23"
08/04/2002,"3,600.00",0.00,0.00,228.25,"1,987.50",68.44,20.00,20.01,"5,835.91",86.00,0.00,330.00,40.43,0.00,"3,009.38"
09/04/2002,"3,800.00",0.00,0.00,247.50,"2,062.50",70.84,20.00,20.59,"6,241.18",90.00,0.00,335.00,41.58,0.00,"3,084.61"
10/04/2002,"3,800.00",0.00,0.00,253.00,"2,100.00",71.64,21.00,20.30,"6,241.18",91.00,0.00,340.00,41.58,0.00,"3,084.61"
11/04/2002,"3,760.00",0.00,0.00,255.75,"2,062.50",71.64,21.00,20.88,"6,403.29",92.00,0.00,345.00,43.31,0.00,"3,272.70"
12/04/2002,"3,800.00",0.00,0.00,258.50,"2,100.00",70.84,21.00,20.88,"6,484.34",90.00,0.00,335.00,43.89,0.00,"3,235.08"
15/04/2002,"3,840.00",0.00,0.00,269.50,"2,137.50",71.64,21.00,21.17,"6,808.56",90.00,0.00,345.00,43.89,0.00,"3,310.32"
16/04/2002,"3,720.00",0.00,0.00,261.25,"2,025.00",70.84,21.00,20.88,"6,808.56",90.00,0.00,340.00,42.16,0.00,"3,084.61"
17/04/2002,"3,760.00",0.00,0.00,261.25,"2,025.00",72.44,21.00,21.17,"6,727.50",88.00,0.00,345.00,41.58,0.00,"3,122.23"
18/04/2002,"3,600.00",0.00,0.00,250.25,"1,987.50",70.84,21.00,20.59,"6,727.50",86.00,0.00,335.00,41.58,0.00,"2,971.76"
19/04/2002,"3,520.00",0.00,0.00,242.00,"1,987.50",70.04,21.00,20.59,"6,808.56",87.00,0.00,330.00,41.58,0.00,"2,971.76"
22/04/2002,"3,480.00",0.00,0.00,233.75,"1,912.50",68.44,21.00,20.59,"6,565.39",85.00,0.00,330.00,41.58,0.00,"2,934.14"
24/04/2002,"3,520.00",0.00,0.00,239.25,"1,912.50",69.24,20.00,20.30,"6,403.29",86.00,0.00,325.00,40.43,0.00,"2,971.76"
25/04/2002,"3,440.00",0.00,0.00,239.25,"1,950.00",70.04,20.00,20.01,"6,484.34",86.00,0.00,325.00,41.58,0.00,"3,009.38"
26/04/2002,"3,560.00",0.00,0.00,250.25,"1,987.50",70.84,20.00,20.01,"6,565.39",85.00,0.00,325.00,41.58,0.00,"3,084.61"
29/04/2002,"3,440.00",0.00,0.00,242.00,"1,950.00",70.04,20.00,19.72,"6,241.18",84.00,0.00,320.00,40.43,0.00,"2,934.14"
30/04/2002,"3,400.00",0.00,0.00,236.50,"1,875.00",68.44,20.00,19.14,"6,079.07",84.00,0.00,305.00,39.27,0.00,"2,896.53"
01/05/2002,"3,400.00",0.00,0.00,236.50,"1,875.00",68.44,19.00,19.43,"6,160.12",83.00,0.00,315.00,38.69,0.00,"2,934.14"
02/05/2002,"3,360.00",0.00,0.00,233.75,"1,837.50",67.64,19.00,19.43,"6,160.12",82.00,0.00,300.00,37.54,0.00,"2,858.91"
03/05/2002,"3,400.00",0.00,0.00,236.50,"1,893.75",66.84,19.00,19.43,"6,160.12",82.00,0.00,325.00,36.38,0.00,"3,009.38"
06/05/2002,"3,400.00",0.00,0.00,233.75,"1,950.00",67.64,19.00,19.43,"6,241.18",81.00,0.00,305.00,35.81,0.00,"2,971.76"
07/05/2002,"3,560.00",0.00,0.00,239.25,"2,025.00",68.44,19.00,19.72,"6,241.18",82.00,0.00,320.00,36.38,0.00,"3,047.00"
08/05/2002,"3,680.00",0.00,0.00,244.75,"2,062.50",69.24,19.50,20.01,"6,484.34",84.00,0.00,320.00,37.54,0.00,"3,197.46"
09/05/2002,"3,600.00",0.00,0.00,239.25,"2,100.00",68.44,19.50,19.72,"6,322.23",84.00,0.00,315.00,37.54,0.00,"3,084.61"
10/05/2002,"3,480.00",0.00,0.00,233.75,"2,025.00",67.64,19.50,19.43,"6,160.12",83.00,0.00,315.00,36.38,0.00,"3,047.00"
13/05/2002,"3,480.00",0.00,0.00,231.00,"2,062.50",66.84,19.50,19.43,"6,160.12",82.00,0.00,325.00,36.38,0.00,"3,122.23"
14/05/2002,"3,480.00",0.00,0.00,231.00,"2,062.50",66.84,19.50,19.72,"6,079.07",82.00,0.00,353.75,36.38,0.00,"3,084.61"
15/05/2002,"3,400.00",0.00,0.00,225.50,"1,987.50",66.84,19.50,19.14,"5,835.91",82.00,0.00,349.63,36.96,0.00,"3,084.61"
16/05/2002,"3,360.00",0.00,0.00,217.25,"1,987.50",66.04,19.50,18.85,"5,673.80",79.00,0.00,349.63,35.81,0.00,"3,047.00"
17/05/2002,"3,200.00",0.00,0.00,209.00,"1,912.50",62.04,19.50,18.27,"5,430.63",74.00,0.00,324.63,32.92,0.00,"2,708.44"
20/05/2002,"3,240.00",0.00,0.00,209.00,"1,950.00",63.64,19.50,18.27,"5,511.69",76.00,0.00,329.63,33.50,0.00,"2,783.68"
21/05/2002,"3,240.00",0.00,0.00,214.50,"1,987.50",64.44,19.50,18.85,"5,592.74",75.00,0.00,334.63,34.07,0.00,"2,783.68"
22/05/2002,"3,160.00",0.00,0.00,209.00,"1,950.00",61.24,19.50,18.85,"5,349.58",74.00,0.00,329.63,34.07,0.00,"2,746.06"
23/05/2002,"3,200.00",0.00,0.00,214.50,"1,987.50",61.24,19.50,18.85,"5,349.58",76.00,0.00,329.63,34.65,0.00,"2,821.29"
24/05/2002,"3,240.00",0.00,0.00,217.25,"1,987.50",62.84,19.50,18.85,"5,511.69",76.00,0.00,339.63,34.65,0.00,"2,783.68"
27/05/2002,"3,320.00",0.00,0.00,220.00,"2,062.50",63.64,19.50,19.43,"5,592.74",77.00,0.00,349.63,35.23,0.00,"2,934.14"
